patient,file,start_sec,end_sec,label,model,drive,noise_intensity,substeps,trials,valid_trials,invalid_trials,valid_fraction,coherence_median,coherence_sd,snr_mean,snr_valid_trials,snr_sd,events_mean,clipped_fraction_max
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,12.736267020351212,3,2.175583928816829e-15,0.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,12.736625723080339,3,0.0,0.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,-2.2895938099792454,3,4.391677930604247,0.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,-1.4368152411702992,3,3.2640278605681874,0.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,0.5,1,3,1,2,0.3333333333333333,0.9609710625351021,,-4.194614010722611,3,3.0125231295206096,4.666666666666667,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,-3.761742936294761,3,3.706662249033291,2.6666666666666665,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,2.0,1,3,3,0,1.0,1.0113753882581642,0.36143647257643385,-2.1536535696644514,3,2.7657359217845907,12.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,eeg_component,2.0,2,3,3,0,1.0,1.2541155212672832,0.3177321721543534,-3.0844058576047093,3,2.9406678054151345,10.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
chb01,chb01_03.edf,0.0,10.0,0,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
